beta12,beta13,beta23,alpha,T1,T_Phi,T_alpha,certified_band_fraction,T_Phi_over_T_alpha,x1*,x2*,x3*
0.0158489319246,0.0398107170553,25.1188643151,0.7,28.4866763817,3364.23835862,9512.81432673,0.351711982674,0.353653318889,0.497713418626,0.251376370554,0.25091021082
0.0158489319246,0.0398107170553,39.8107170553,0.7,44.023121726,5199.07176227,12171.649221,0.425066587504,0.427146039774,0.540029928578,0.23020400541,0.229766066013
0.0158489319246,0.0398107170553,63.095734448,0.7,68.3714182106,8074.57299319,16121.9657249,0.498717073698,0.500842957426,0.585179521513,0.207612416012,0.207208062475
0.0158489319246,0.0398107170553,100,0.7,106.614272831,12591.0029457,22023.9915976,0.569611431509,0.571694866933,0.631491431882,0.184437678572,0.184070889546
0.0158489319246,0.063095734448,0.063095734448,0.7,0.394722976123,46.6162552455,4152.05998526,0.0111332512014,0.0112272595798,0.333682196509,0.333682196509,0.332635606982
0.0158489319246,0.063095734448,0.1,0.7,0.480677300632,56.7673459422,4162.18093601,0.0135249213405,0.0136388462719,0.334224070697,0.333411202142,0.332364727161
0.0158489319246,0.063095734448,0.158489319246,0.7,0.600916985548,70.9674918211,4178.18607473,0.0168438397252,0.0169852396594,0.33507729669,0.332984496268,0.331938207042
0.0158489319246,0.063095734448,0.251188643151,0.7,0.771355413982,91.0960421314,4203.46474606,0.021492095264,0.0216716560349,0.336415793534,0.332315095534,0.331269110932
0.0158489319246,0.063095734448,0.398107170553,0.7,1.01614167557,120.004972041,4243.31357712,0.0280482055246,0.0282809577611,0.33850355418,0.331270961638,0.330225484182
0.0158489319246,0.063095734448,0.63095734448,0.7,1.37220002705,162.054986859,4305.94921109,0.0373283568675,0.037635136625,0.341731700619,0.329656458395,0.328611840986
0.0158489319246,0.063095734448,1,0.7,1.89635258824,223.956702893,4403.98570394,0.0504443078232,0.050853185716,0.346658622589,0.327192253824,0.326149123587
0.0158489319246,0.063095734448,1.58489319246,0.7,2.67651758256,316.093144674,4556.51977336,0.0688246409652,0.0693716170226,0.354038216154,0.323501151268,0.322460632579
0.0158489319246,0.063095734448,2.51188643151,0.7,3.84934345519,454.602310706,4791.97954788,0.0941396637113,0.0948673311652,0.364807374261,0.318114269449,0.31707835629
0.0158489319246,0.063095734448,3.98107170553,0.7,5.62801367867,664.660883809,5151.9628397,0.12805868495,0.129011195245,0.379996223495,0.310515839634,0.309487936871
0.0158489319246,0.063095734448,6.3095734448,0.7,8.34613388537,985.667242719,5696.56911746,0.171814837719,0.173028224953,0.400543322202,0.300235566648,0.29922111115
0.0158489319246,0.063095734448,10,0.7,12.5270610301,1479.42914342,6512.38377114,0.225682218519,0.227171677133,0.427052693523,0.286970201924,0.285977104553
0.0158489319246,0.063095734448,15.8489319246,0.7,18.9934966114,2243.10653192,7725.29041504,0.28860982893,0.290358861792,0.459585797052,0.27068782289,0.269726380058
0.0158489319246,0.063095734448,25.1188643151,0.7,29.0408200472,3429.68198394,9521.45961229,0.358248117611,0.360205485671,0.497579197403,0.251669365435,0.250751437162
0.0158489319246,0.063095734448,39.8107170553,0.7,44.7113501293,5280.35061568,12181.2300116,0.431395477699,0.433482547384,0.539911949416,0.230475227408,0.229612823175
0.0158489319246,0.063095734448,63.095734448,0.7,69.2284492975,8175.78721765,16132.7820573,0.50465538113,0.506780987223,0.585079422607,0.207858440768,0.207062136625
0.0158489319246,0.063095734448,100,0.7,107.683813906,12717.3143154,22036.4154935,0.575027807613,0.577104489572,0.631409463635,0.184656446782,0.183934089582
0.0158489319246,0.1,0.1,0.7,0.575091800146,67.9175719855,4172.30910078,0.01614256327,0.0162781736312,0.333953047703,0.333953047703,0.332093904594
0.0158489319246,0.1,0.158489319246,0.7,0.705982214366,83.3755547418,4188.32565581,0.0197414232837,0.019906655211,0.334806233614,0.333526292164,0.331667474222
0.0158489319246,0.1,0.251188643151,0.7,0.889829116575,105.087627861,4213.62237742,0.0247340170661,0.0249399728899,0.336144679759,0.332856802292,0.330998517949
0.0158489319246,0.1,0.398107170553,0.7,1.15149564653,135.990094876,4253.49970635,0.0317092092528,0.0319713422508,0.338232390552,0.331812502313,0.329955107135
0.0158489319246,0.1,0.63095734448,0.7,1.52880499682,180.549824214,4316.1802274,0.0414914211348,0.0418309279736,0.341460528306,0.330197678588,0.328341793106
0.0158489319246,0.1,1,0.7,2.07971098043,245.611083633,4414.28715334,0.0551949054603,0.0556400331698,0.346387591219,0.327732839954,0.325879568828
