alpha,R3,R3^3,s,t_boundary,margin_simplex_inside,margin_direct_eig_inside,margin_simplex_outside,margin_direct_eig_outside
0.85,3.4236527657030025,40.12999757111764,31.301398105471762,8.82859946564555,2.3385367198258677e-08,2.3385368086437097e-08,-2.3385358982608295e-08,-2.3385358538519085e-08
0.85,3.4236527657030025,40.12999757111764,32.90659800831647,7.223399562800594,1.9133482354050102e-08,1.9133482576094707e-08,-1.9133475248622744e-08,-1.9133474804533535e-08
0.85,3.4236527657030025,40.12999757111764,34.511797911161175,5.6181996599556365,1.4881597953930736e-08,1.4881598620064551e-08,-1.4881591514637194e-08,-1.4881590626458774e-08
0.85,3.4236527657030025,40.12999757111764,36.11699781400588,4.01299975711239,1.0629709112919272e-08,1.0629709557008482e-08,-1.0629711777454531e-08,-1.0629711555409926e-08
0.85,3.4236527657030025,40.12999757111764,37.72219771685059,2.4077998542674353,6.3778251568891164e-09,6.377826045067536e-09,-6.377827377335166e-09,-6.377826711201351e-09
0.85,3.4236527657030025,40.12999757111764,39.32739761969529,0.8025999514224782,2.1259414229035656e-09,2.1259423110819853e-09,-2.1259429772158e-09,-2.1259423110819853e-09
0.85,3.4236527657030025,40.12999757111764,39.92934758326205,0.2006499878562611,5.314833018132958e-10,5.314841899917155e-10,-5.314877427053943e-10,-5.314870765715796e-10
0.8,4.5743291902175045,95.71549414674152,0.0,95.71549414673817,7.610858743234417e-08,7.61085887646118e-08,-7.610847996275538e-08,-7.610847752026473e-08
0.8,4.5743291902175045,95.71549414674152,1.9143098829348304,93.80118426380503,7.458641348989659e-08,7.45864139339858e-08,-7.458631090528911e-08,-7.458631001711069e-08
0.8,4.5743291902175045,95.71549414674152,5.742929648804491,89.97256449793474,7.154206849158129e-08,7.15420687136259e-08,-7.154197279035657e-08,-7.154197212422275e-08
0.8,4.5743291902175045,95.71549414674152,9.571549414674152,86.14394473206858,6.849772038464153e-08,6.849772105077534e-08,-6.849763845018231e-08,-6.84976380060931e-08
0.8,4.5743291902175045,95.71549414674152,13.400169180543811,82.31532496619835,6.545337605246004e-08,6.545337649654925e-08,-6.545330011320516e-08,-6.545329966911595e-08
0.8,4.5743291902175045,95.71549414674152,17.228788946413474,78.48670520032806,6.240903194232317e-08,6.240903260845698e-08,-6.240896199827262e-08,-6.24089611100942e-08
0.8,4.5743291902175045,95.71549414674152,21.057408712283134,74.6580854344578,5.936468738809708e-08,5.936468872036471e-08,-5.936462343925086e-08,-5.936462277311705e-08
0.8,4.5743291902175045,95.71549414674152,24.886028478152795,70.82946566858752,5.6320343277960205e-08,5.632034394409402e-08,-5.632028488022911e-08,-5.6320283770006085e-08
0.8,4.5743291902175045,95.71549414674152,28.71464824402246,67.00084590271729,5.327599961191254e-08,5.327600050009096e-08,-5.327594632120736e-08,-5.327594543302894e-08
0.8,4.5743291902175045,95.71549414674152,32.54326800989212,63.17222613684704,5.023165572382027e-08,5.023165638995408e-08,-5.0231607318096394e-08,-5.023160665196258e-08
0.8,4.5743291902175045,95.71549414674152,36.37188777576178,59.34360637098086,4.718730917119274e-08,4.718731005937116e-08,-4.71872714236099e-08,-4.718727053543148e-08
0.8,4.5743291902175045,95.71549414674152,40.200507541631445,55.514986605110586,4.4142965727189676e-08,4.414296639332349e-08,-4.414293219845433e-08,-4.414293197640973e-08
