alpha,b,g=1-b,W_alpha,W_over_T1
0.8,0.0473151258961,0.952684874104,45.9001430458,107.788276949
0.8,0.0501187233627,0.949881276637,46.030318878,102.047289559
0.8,0.0530884444231,0.946911555577,46.168098482,96.6272185212
0.8,0.056234132519,0.943765867481,46.3139204741,91.5101013081
0.8,0.0595662143529,0.940433785647,46.4682482494,86.6789798625
0.8,0.063095734448,0.936904265552,46.631571342,82.1178444152
0.8,0.0668343917569,0.933165608243,46.8044068591,77.81158045
0.8,0.0707945784384,0.929205421562,46.9873009937,73.7459186379
0.8,0.0749894209332,0.925010579067,47.180830619,69.9073875752
0.8,0.0794328234724,0.920567176528,47.3856049715,66.2832691687
0.8,0.0841395141645,0.915860485835,47.6022674277,62.8615565209
0.8,0.0891250938134,0.910874906187,47.83149738,59.6309141747
0.8,0.0944060876286,0.905593912371,48.0740122193,56.5806405861
0.8,0.1,0.9,48.3305694313,53.7006327015
