triple,beta12,beta13,beta23,alpha,L3_at_kappa0,L3_cain_boundary,L3_fractional_boundary,band_width_in_L3,realizability_2sqrtG_if_G>0,evidence
"no_pair_loops_(1,1,1)",1,1,1,0.667571451931725,1,-8,-226810664.883062,226810656.883062,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.667625417266748,1,-8,-190654335.762398,190654327.762398,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.66768260132946,1,-8,-160263153.505961,160263145.505961,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.667743196098802,1,-8,-134717709.362664,134717701.362664,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.667807405004176,1,-8,-113245235.931495,113245227.931495,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.667875443608401,1,-8,-95196216.7282731,95196208.7282731,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.667947540331402,1,-8,-80024726.9079063,80024718.9079063,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.668023937217061,1,-8,-67271909.9409222,67271901.9409222,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.668104890745814,1,-8,-56552089.9917387,56552081.9917387,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.668190672695706,1,-8,-47541099.5500645,47541091.5500645,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.66828157105481,1,-8,-39966468.9389753,39966460.9389753,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.668377890988062,1,-8,-33599180.6948646,33599172.6948646,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.668479955861763,1,-8,-28246739.1944583,28246731.1944583,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.668588108329191,1,-8,-23747345.7245864,23747337.7245864,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.668702711480957,1,-8,-19965002.6593424,19964994.6593424,0,FLOAT
