alpha,s,beta12=e^s,beta13=1,beta23=e^-s/2,x1,x2,x3,cain_x1,cain_x2,cain_x3,evidence
0.75,1.22,3.38718773362,1,0.543350869074,0.289488624381,0.311551496323,0.398959879296,0.206041114987,0.279520528239,0.514438356774,FLOAT
0.75,1.23,3.42122953629,1,0.540640895309,0.289075652341,0.311265446132,0.399658901527,0.205103286762,0.278944737889,0.515951975349,FLOAT
0.75,1.24,3.45561346476,1,0.537944437595,0.288661762517,0.310977614435,0.400360623048,0.204167704268,0.278367375493,0.517464920239,FLOAT
0.75,1.25,3.49034295746,1,0.535261428519,0.288246955953,0.310688002577,0.40106504147,0.203234377598,0.277788458252,0.51897716415,FLOAT
0.75,1.26,3.52542148737,1,0.532591801007,0.287831233761,0.310396611982,0.401772154257,0.202303316744,0.277208003405,0.520488679851,FLOAT
0.75,1.27,3.56085256236,1,0.529935488318,0.287414597122,0.310103444145,0.402481958732,0.201374531588,0.276626028233,0.521999440179,FLOAT
0.75,1.28,3.59663972557,1,0.527292424043,0.286997047289,0.309808500641,0.40319445207,0.200448031909,0.276042550049,0.523509418042,FLOAT
0.75,1.29,3.63278655575,1,0.524662542107,0.286578585581,0.309511783116,0.403909631303,0.199523827376,0.275457586204,0.52501858642,FLOAT
0.75,1.3,3.66929666762,1,0.522045776761,0.28615921339,0.309213293293,0.404627493316,0.198601927552,0.274871154083,0.526526918365,FLOAT
0.75,1.31,3.70617371221,1,0.519442062587,0.285738932174,0.308913032971,0.405348034854,0.197682341891,0.274283271103,0.528034387006,FLOAT
0.75,1.32,3.74342137726,1,0.516851334492,0.285317743462,0.308611004024,0.406071252514,0.196765079739,0.273693954712,0.529540965549,FLOAT
0.75,1.33,3.78104338757,1,0.514273527707,0.284895648849,0.3083072084,0.406797142752,0.195850150333,0.273103222388,0.531046627279,FLOAT
0.75,1.34,3.81904350537,1,0.511708577787,0.28447265,0.308001648123,0.407525701877,0.194937562801,0.272511091636,0.532551345563,FLOAT
0.75,1.35,3.8574255307,1,0.509156420608,0.284048748647,0.307694325294,0.408256926059,0.19402732616,0.271917579991,0.534055093849,FLOAT
0.75,1.36,3.8961933018,1,0.506616992366,0.283623946592,0.307385242087,0.408990811321,0.193119449319,0.271322705011,0.53555784567,FLOAT
0.75,1.37,3.93535069547,1,0.504090229575,0.283198245702,0.307074400752,0.409727353546,0.192213941074,0.270726484279,0.537059574647,FLOAT
